0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-1682.8848,235.4458,-14.701247,-30.246933,-108.62386,15.223011,-110.29627,-34.40558,-87.35363,11.246904,-20.809893,27.343756,-44.885574,-24.000084,-37.448933,11.751554,laughing
-1854.3988,368.57663,24.18688,7.58224,-14.344676,26.13717,-55.901722,-14.816879,-57.623142,1.744904,1.1571736,27.592379,-2.6146655,-3.455825,-11.240466,-15.763432,laughing
-2068.7224,163.17276,-7.308006,15.896966,-22.25298,-25.573116,-79.86564,26.142738,-18.643402,5.5412726,-14.472965,10.792226,0.54256374,9.090691,-12.143987,-20.103342,laughing
-1890.0663,134.09547,-58.442814,10.5352335,-18.618628,-31.878796,-134.6184,6.044884,-63.939934,26.455849,-0.6647813,19.706533,-35.65041,-19.776657,-14.861377,-1.2594657,laughing
-1922.2781,275.90643,-34.699486,8.259613,-18.046137,-14.991844,-26.8002,-4.799674,-31.697039,44.882572,7.96416,-7.309332,-38.2017,-6.6148114,-21.223091,4.1468096,laughing
-2215.4326,162.89713,9.954978,9.545798,9.1198,20.231474,-16.412085,1.003624,-10.723185,17.54904,1.0398057,-8.474989,-38.479317,-12.906349,-14.477637,-4.4204154,laughing
-1969.4813,249.49103,-82.04708,12.684717,42.585545,-66.391205,-55.682007,14.067868,-13.945136,26.102583,-21.380589,-26.089851,-75.194435,-5.9074445,0.14552808,21.941267,laughing
-2197.6692,214.62898,-31.651678,-44.26757,9.243061,7.453957,7.2541337,29.546043,-15.953148,-25.381124,-14.451134,40.930164,-1.4602405,-15.211958,-24.88436,-15.948084,laughing
-1996.7689,284.20493,77.96448,80.8695,-66.59337,-48.6461,-21.552732,47.659134,-40.37228,-38.064545,-57.029636,-30.846037,-30.304506,-34.30108,-10.168402,-28.18238,laughing
-2062.8801,251.48865,62.51349,45.74834,-69.47523,-8.5080385,-45.472164,-39.392387,-65.51905,-14.915999,-5.715195,8.919926,3.546583,-13.571444,-18.943771,-28.489681,laughing
-1793.8121,254.99623,-14.545426,60.96386,37.340633,-34.952694,-105.04721,6.3875227,-18.56786,41.7829,-52.39153,86.22983,-20.892702,-46.95828,-68.195755,-19.105282,laughing
-2156.3848,237.7223,90.70571,148.20807,34.463455,16.368006,21.100122,-12.988942,-16.01121,9.841756,-29.686396,4.2557077,10.852724,6.8873243,-11.52157,-17.757019,laughing
-2027.2312,274.4338,55.629665,47.276752,6.5081844,-57.570236,-22.147593,29.32723,-7.7614627,33.431133,-25.55688,16.566702,9.122411,10.502796,-48.100925,1.7993901,laughing
-1962.2128,211.47,8.335039,-24.259645,-40.64505,63.12066,17.370079,87.84589,-19.610706,-0.8864987,-21.502314,-15.05652,-44.748463,-11.338816,-22.596745,-10.327852,laughing
-1919.3232,236.81436,26.446543,-29.92517,-34.202625,-4.375069,-80.21599,11.061885,-8.312333,54.09847,-16.714834,-0.963841,-46.796513,-10.051074,-35.73916,0.32334372,laughing
-2056.853,184.14432,34.026363,51.90858,1.903211,-3.0296886,-52.096058,28.850294,-19.663212,34.889397,19.757982,45.408585,-18.495836,-14.9417925,-17.039076,-1.144705,laughing
-1910.0216,300.4081,29.726307,78.277504,21.475199,-80.99439,-38.95795,2.3725233,-22.580685,19.713789,-45.478256,31.15124,-5.1384807,-3.4793532,-59.354977,-18.573195,laughing
-1766.2037,315.36652,-128.72244,-39.155884,12.607205,-53.346813,-120.429634,-6.2679667,-32.06829,10.978705,-14.801471,19.876537,-33.628956,-26.403904,-30.959524,23.324987,laughing
